统计时间,测试小时,总任务数,成功数,排队数,当前运行
2026-03-25 23:27:06,1,7193,30,7163,30
2026-03-26 00:27:07,2,14387,30,14357,30
2026-03-26 01:27:07,3,21579,30,21549,30
2026-03-26 02:27:07,4,28772,30,28742,30
2026-03-26 03:27:07,5,35965,30,35935,30
2026-03-26 04:27:07,6,43158,30,43128,30
2026-03-26 05:27:07,7,50351,30,50321,30
2026-03-26 06:27:07,8,57544,30,57514,30
2026-03-26 07:27:07,9,64737,30,64707,30
2026-03-26 08:27:07,10,71930,30,71900,30
2026-03-26 09:27:07,11,79123,30,79093,30
2026-03-26 10:27:08,12,86316,30,86286,30
2026-03-26 11:27:08,13,93509,30,93479,30
2026-03-26 12:27:08,14,100702,30,100672,30
2026-03-26 13:27:08,15,107895,30,107865,30
2026-03-26 14:27:08,16,115088,30,115058,30
2026-03-26 15:27:08,17,122281,30,122251,30
2026-03-26 16:27:08,18,129474,30,129444,30
2026-03-26 17:27:08,19,136667,30,136637,30
2026-03-26 18:27:08,20,143860,30,143830,30
2026-03-26 19:27:08,21,151052,30,151022,30
2026-03-26 20:27:08,22,158245,30,158215,30
2026-03-26 21:27:09,23,165438,30,165408,30
